243,245,-78
244,243,-100
244,256,-92
245,238,-103
245,243,-78
245,260,-38
246,240,-48
246,247,-74
246,284,-59
247,229,-99
247,246,-74
247,257,-76
248,233,-64
248,249,-63
248,258,-58
249,234,-98
249,248,-63
249,270,-86
250,253,-39
250,266,-35
251,239,-41
251,268,-29
252,242,-62
252,254,-68
252,261,-72
253,250,-39
253,262,-53
254,252,-68
254,259,-84
254,273,-66
255,241,-94
255,261,-104
255,271,-116
256,244,-92
256,279,-59
257,247,-76
257,258,-61
257,305,-64
258,248,-58
258,257,-61
258,306,-51
259,254,-84
259,260,-51
259,282,-83
260,245,-38
260,259,-51
260,278,-22
261,252,-72
261,255,-104
261,276,-81
262,253,-53
262,263,-57
262,272,-35
263,262,-57
263,264,-33
264,263,-33
264,267,-38
265,266,-40
265,286,-30
266,250,-35
266,265,-40
266,275,-24
267,264,-38
267,291,-70
268,251,-29
268,269,-23
269,268,-23
269,283,-29
270,249,-86
270,271,-110
270,307,-99
271,255,-116
271,270,-110
271,290,-107
272,262,-35
272,274,-8
272,287,-12
273,254,-66
273,277,-48
273,280,-70
274,272,-8
274,275,-6
275,266,-24
275,274,-6
276,261,-81
276,277,-59
276,288,-74
277,273,-48
277,276,-59
278,260,-22
278,279,-31
278,296,-19
279,256,-59
279,278,-31
279,297,-54
280,273,-70
280,281,-93
281,280,-93
281,282,-88
281,289,-93
282,259,-83
282,281,-88
282,295,-82
283,269,-29
283,284,-46
283,308,-38
284,246,-59
284,283,-46
284,304,-84
285,286,-18
285,294,-15
286,265,-30
286,285,-18
287,272,-12
287,293,-30
288,276,-74
288,290,-88
289,281,-93
289,301,-78
290,271,-107
290,288,-88
290,309,-98
291,267,-70
291,292,-69
291,293,-61
292,291,-69
292,313,-64
293,287,-30
293,291,-61
293,298,-50
294,285,-15
294,300,-12
295,282,-82
295,296,-47
295,303,-58
296,278,-19
296,295,-47
296,310,-22
297,279,-54
297,312,-75
298,293,-50
298,316,-43
299,300,-9
299,315,-5
300,294,-12
300,299,-9
301,289,-78
301,302,-84
301,303,-49
302,301,-84
302,324,-141
303,295,-58
303,301,-49
303,311,-38
304,284,-84
304,305,-87
304,328,-127
305,257,-64
305,304,-87
305,314,-58
306,258,-51
306,307,-69
306,314,-48
307,270,-99
307,306,-69
307,320,-131
308,283,-38
308,327,-69
309,290,-98
309,321,-98
310,296,-22
310,311,-37
310,318,-53
311,303,-38
311,310,-37
311,329,-47
312,297,-75
312,319,-91
313,292,-64
313,322,-77
314,305,-58
314,306,-48
314,344,-66
315,299,-5
315,326,-2
316,298,-43
316,317,-25
316,323,-48
317,316,-25
317,334,-38
318,310,-53
318,319,-89
318,332,-74
319,312,-91
319,318,-89
319,338,-78
320,307,-131
320,321,-133
320,359,-174
321,309,-98
321,320,-133
322,313,-77
322,323,-76
322,331,-65
323,316,-48
323,322,-76
323,336,-56
324,302,-141
324,325,-178
324,330,-123
325,324,-178
325,333,-145
326,315,-2
327,308,-69
327,328,-120
327,337,-79
328,304,-127
328,327,-120
328,342,-112
329,311,-47
329,330,-60
329,332,-63
330,324,-123
330,329,-60
330,347,-42
331,322,-65
331,340,-36
332,318,-74
332,329,-63
332,345,-74
333,325,-145
333,349,-112
334,317,-38
334,335,-67
334,336,-55
335,334,-67
335,341,-73
336,323,-56
336,334,-55
336,355,-72
337,327,-79
337,348,-65
338,319,-78
338,339,-58
339,338,-58
339,346,-66
340,331,-36
340,354,-34
341,335,-73
341,361,-78
342,328,-112
342,343,-78
342,363,-59
343,342,-78
343,344,-78
343,372,-53
344,314,-66
344,343,-78
344,356,-126
345,332,-74
345,346,-71
345,351,-84
346,339,-66
346,345,-71
346,353,-41
347,330,-42
347,351,-55
347,352,-22
348,337,-65
348,362,-77
349,333,-112
349,350,-89
349,352,-70
350,349,-89
350,365,-115
351,345,-84
351,347,-55
351,367,-82
352,347,-22
352,349,-70
352,376,-37
353,346,-41
353,369,-32
354,340,-34
354,355,-65
354,357,-19
355,336,-72
355,354,-65
355,360,-92
356,344,-126
356,358,-181
356,370,-170
357,354,-19
357,366,-5
358,356,-181
358,359,-185
358,380,-120
359,320,-174
359,358,-185
360,355,-92
360,361,-87
360,377,-61
361,341,-78
361,360,-87
361,364,-84
362,348,-77
